Topic,Count,Name,Representation,Representative_Docs,Semantic_Coherence
39,41,39_recebi encomenda_pedido entregue_pedido chegou_recebi pedido,"['recebi encomenda', 'pedido entregue', 'pedido chegou', 'recebi pedido', 'pedido recebi', 'entrega pedido', 'recebi mail', 'entrega ainda', 'status pedido', 'fiz pedido']","['ainda não recebi a encomenda até agora!', 'Meu pedido era para ser entregue até dia 22/03/18, até a presente data (24/03) a nota fiscal não foi emitida, solicitei várias vezes não obtive retorno, não recomendo esta Loja, nem a lannister!!!!!!', 'Até o momento não recebi o pedido, também não recebi informações do atraso de entrega do pedido.']",0.70207286
40,39,40_produto demorou_demorou demais_muita demora_entrega longo,"['produto demorou', 'demorou demais', 'muita demora', 'entrega longo', 'longo entrega', 'demais', 'demorou chegar', 'ainda produto', 'chegar produto', 'produto achei']","['O produto demorou muito p chegar.', 'Produto demorou muito para chegar', 'Mesmo recomendando, o produto demorou muito a chegar.']",0.5535135
41,39,41_aparelho_película vidro_celular_tela,"['aparelho', 'película vidro', 'celular', 'tela', 'plástico', 'película', 'telefone', 'porém produto', 'capas', 'capa']","['O produto não corresponde ao que eu comprei, a película é muito menor que a tela do celular e não cobre toda a tela.', 'Película menor do que a tela do celular', 'Película muito ruim celular Mem funcionou a tela com ela']",0.525938
42,38,42_loja targaryen_compro lannister_lojas lannister_contato loja,"['loja targaryen', 'compro lannister', 'lojas lannister', 'contato loja', 'produtos recebi', 'recebi produto', 'targaryen', 'entregue produto', 'contato lannister', 'lannister produto']","['Comprei dois produtos e recebi apenas 1 deles. Tentei entrar em contato com a loja e não obtive sucesso. Tentei entrar em contato com a lannister por telefone e email e também não consegui. | Comprei dois produtos e recebi apenas 1 deles. Tentei entrar em contato com a loja e não obtive sucesso. Tentei entrar em contato com a lannister por telefone e email e também não consegui.', 'Estou muito insatisfeito com essa loja targaryen, já paguei o pelo produto e o mesmo não foi entregue no prazo, quero que entregue meu produto com urgência!!! Espero que a targaryen e stark resolvam isso. | Estou muito insatisfeito com essa loja targaryen, já paguei o pelo produto e o mesmo não foi entregue no prazo, quero que entregue meu produto com urgência!!! Espero que a targaryen e stark resolvam isso.', 'Nunca + targaryen e stark Descaso total Essa é a 3ª reclamação q faço Como comprei com o parceiro qdo ligo na stark n consigo falar com nenhum atendente e n existe retorno da targaryen ou seja... | Nunca + targaryen e stark Descaso total Essa é a 3ª reclamação q faço Como comprei com o parceiro qdo ligo na stark n consigo falar com nenhum atendente e n existe retorno da targaryen ou seja...']",0.54350096
43,35,43_valor pago_pagamento_reembolso_pago,"['valor pago', 'pagamento', 'reembolso', 'pago', 'paguei', 'estorno', 'pago recebi', 'crédito', 'produto dinheiro', 'dinheiro volta']","['O produto nao chegou e eu ja até paguei parte do produto. A nota fiscal nem foi emitida e a previsão de chegada expirou. Quero estorno do valor pago. Um absurdo', 'Até a presente data não recebi o produto. Gostaria de saber como devo proceder.... solicito estorno do valor pago!?', 'Não recebi o produto, solicitei devolucao do valor pago no meu cartão de crédito e não obtive be nenhum retorno']",0.7250964
44,35,44_produto diferente_diferente produto_diferente anunciado_diferente anuncio,"['produto diferente', 'diferente produto', 'diferente anunciado', 'diferente anuncio', 'produto anunciado', 'veio diferente', 'diferente', 'bem diferente', 'produto comprado', 'comprado produto']","['produto diferente do anunciado', 'Produto diferente do que foi anunciado.', 'Produto totalmente diferente do anunciado ,péssima qualidade']",0.58776695
45,33,45_comprei dia_chegou comprei_comprei junto_presente aniversário,"['comprei dia', 'chegou comprei', 'comprei junto', 'presente aniversário', 'data recebi', 'dar presente', 'recebi encomenda', 'compraria novamente', 'pois presente', 'entrega passou']","['Não acredito q comprei um presente de Natal em novembro e aminha esposa vai ficar sem o presente de natal por incompetência da logística de vocês Depois q passaram a vender assim por parceiros', 'Estou indignada. É o presente de natal do eu filho ,comprei com antecedência e não chegou.', 'O que era para ser o presente de natal, chegou depois de reis.']",0.60576665
46,32,46_quero produto_produto quero_recebi produto_produto comprei,"['quero produto', 'produto quero', 'recebi produto', 'produto comprei', 'onde produto', 'receber produto', 'produto produto', 'produto boa', 'produto', 'agora produto']","['quero meu produto', 'quero o meu produto', 'Quero o meu produto']",0.79797083
47,31,47_cobre leito_cobre_material_tecido,"['cobre leito', 'cobre', 'material', 'tecido', 'melhor', 'peças', 'fios', 'costura', 'coloquei', 'pouco']","['Adquiri um kit Rivera 5 peças não recebi o cobre leito,veio um lençol muito fino que não é um cobre leito. gostaria que fosse trocado pelo produto que adquiri no site.', 'Não lembra em nada um cobre leito. É na verdade um lençol com tecido mais grosso e áspero. Já solicitei devolução | Não lembra em nada um cobre leito. É na verdade um lençol com tecido mais grosso e áspero. Já solicitei devolução', 'achei que fosse um pouco mais grosso, pois mais parece um lençol do que um cobre leito']",0.4912792
48,31,48_produto defeito_produto nao_produto funciona_produto original,"['produto defeito', 'produto nao', 'produto funciona', 'produto original', 'defeito', 'veio defeito', 'chegou defeito', 'produto produto', 'devolver produto', 'produto chegou']","['Não está funcionando o produto', 'O produto não veio funcionando', 'meu produto veio com defeito não esta funcionando']",0.5947263
49,30,49_toalhas_escova_espelho_finas,"['toalhas', 'escova', 'espelho', 'finas', 'panos', 'toalha', 'cor', 'prato', 'veio cor', 'falta']","['São toalhas mais finas, porém já esperava por isso, e pra visitas inesperadas são ótimas.', 'As toalhas muito ruins , finas | As toalhas muito ruins , finas', 'As toalhas não são felpudas!!!!']",0.61732507
50,29,50_prazo entrega_entrega prazo_produto recebi_recebi produto,"['prazo entrega', 'entrega prazo', 'produto recebi', 'recebi produto', 'prazo estipulado', 'prazo ainda', 'passou prazo', 'produto prazo', 'ainda prazo', 'produto passou']","['Ainda não recebi o produto, já passou do prazo e ninguém entra em contato pra dizer o que houve.', 'até hoje não recebi o produto,já passou do prazo de entrega e nada ainda', 'Ainda não recebi o produto é já se passou o prazo solicitado.']",0.6678919
51,28,51_comprei produto_produto recebi_compra recebi_comprei dois,"['comprei produto', 'produto recebi', 'compra recebi', 'comprei dois', 'outro comprei', 'fiz compra', 'comprei comprei', 'recebi outro', 'produto comprei', 'enviaram produto']","['Comprei dois protetores de um modelo em uma mesma compra. Recebi modelos diferentes e em dias diferente e,diferente do modelo mostrado no site e ainda com nota fiscal de outro produto. Além do atraso | Comprei dois protetores de um modelo em uma mesma compra. Recebi modelos diferentes e em dias diferente e,diferente do modelo mostrado no site e ainda com nota fiscal de outro produto. Além do atraso', 'Comprei um produto e recebi outro', 'comprei um produto e recebi outro | comprei um produto e recebi outro']",0.7040038
52,26,52_entregaram produto_produto veio_devolver produto_produto entregue,"['entregaram produto', 'produto veio', 'devolver produto', 'produto entregue', 'uso produto', 'agora produto', 'produto entrega', 'produto produto', 'produto funciona', 'produto']","['O PRODUTO CHEGOU TODO AMASSADO. TÃO AMASSADO QUE VINCOU O ADESIVO E IMPOSSIBILITOU O USO DO PRODUTO. PÉSSIMO.', 'O MATERIAL DO PRODUTO É BOM, MAS DEIXA A DESEJAR NO IMÃ QUE FECHA A CARTEIRA. É COM POUCA PRESSÃO, E COM UMA SEMANA DE USO, JÁ NÃO FECHA MAIS COMO DEVERIA. E FICA SOLTANDO LINHA DA COSTURA. MEDIANO', 'Falta de respeito e interesse do fornecedor. Como pode um produto ser emitido nota fiscal rapidinho, despachado para entrega, diz que chegou a unidade de São Gonçalo e depois diz que não chegou nada. | Falta de respeito e interesse do fornecedor. Como pode um produto ser emitido nota fiscal rapidinho, despachado para entrega, diz que chegou a unidade de São Gonçalo e depois diz que não chegou nada.']",0.7986254
53,26,53_cortina_chegou embalagem_comprei veio_transparente,"['cortina', 'chegou embalagem', 'comprei veio', 'transparente', 'compraria novamente', 'pouco', 'devoluçao', 'faltando', 'outro comprei', 'compraria']","['Eu recebi a cortina mais não veio o varão que estava dizendo na propaganda que viria,A cortina é linda.', 'A cortina não é o modelo que pedi. |', 'A cortina perderia se mais alta']",0.46465954
54,26,54_recebi produto_comprei produto_achei produto_produto aguardando,"['recebi produto', 'comprei produto', 'achei produto', 'produto aguardando', 'produto comprado', 'produto chegou', 'produto anunciado', 'chegou produto', 'produto ainda', 'produto entregue']","['Eu até o momento não recebi o meu produto, e o status da compra esta como produto entregue e agora quero saber como proceder.', 'Eu quero saber onde está meu produto que Ainda não recebi !!!! Esta demorando horrores !!', 'Não chegou o meu produto. Quero saber o que aconteceu?']",0.79099035
55,25,55_perfume_cheiro_comprei dois_produto comprado,"['perfume', 'cheiro', 'comprei dois', 'produto comprado', 'compraria novamente', 'produto falso', 'chegou embalagem', 'falsificado', 'comprei', 'compraria']","['O perfume que recebi tem embalagem diferente da foto do site e também diferente de um perfume igual que tenho em casa. O cheiro é bem parecido, mas não igual. Enfim, parece falsificado.', 'o perfume não tem nenhuma fixação não parece ORIGINAL. Uso este perfume faz muitos anos e vi que não é normal só cheira a álcool.', 'Fiquei muito descontente, comprei o perfume masculino de presente e mandei entregar para a pessoa. Mas para a minha infelicidade, chegou o perfume feminino!!!!!!']",0.47718942
56,25,56_produto diferente_diferente comprei_comprei produto_diferente produto,"['produto diferente', 'diferente comprei', 'comprei produto', 'diferente produto', 'produto recebi', 'recebi produto', 'devolver produto', 'errado comprei', 'veio diferente', 'troca produto']","['Recebi produto totalmente diferente do comprado. Quero trocá-lo pelo certo. Como fazer?', 'Produto entregue errado, comprei um produto recebi outro totalmente diferente.', 'Recebi produto de outro cliente totalmente diferente do que comprei...trocaram meu pedido....']",0.6197168
57,24,57_produto original_réplica_produto vendido_produto falso,"['produto original', 'réplica', 'produto vendido', 'produto falso', 'comprar produto', 'esperava produto', 'recebi produto', 'produto recebi', 'descrição produto', 'produto site']","['Sempre comprei no site. É a primeira vez que fui passado para trás. Não recebi um produto Epson, conforme a descrição do produto. Recebi um produto que não é original, uma imitação chinesa. Absurdo... | Sempre comprei no site. É a primeira vez que fui passado para trás. Não recebi um produto Epson, conforme a descrição do produto. Recebi um produto que não é original, uma imitação chinesa. Absurdo... | Sempre comprei no site. É a primeira vez que fui passado para trás. Não recebi um produto Epson, conforme a descrição do produto. Recebi um produto que não é original, uma imitação chinesa. Absurdo...', 'O produto é bom, porem é vendido como se fosse da Sony (original) mas na verdade não é original e sim uma réplica. | O produto é bom, porem é vendido como se fosse da Sony (original) mas na verdade não é original e sim uma réplica.', 'Me senti lesada , o produto vendido é réplica e das piores. Estou aguardando para mandar produto de volta. | Loja vendê produto como original e é réplica. E das piores.']",0.62012607
58,24,58_recebi email_entrei contato_nenhum retorno_entrega recebi,"['recebi email', 'entrei contato', 'nenhum retorno', 'entrega recebi', 'contato', 'falha', 'produto incompleto', 'entrar contato', 'consigo contato', 'mail']","['Câmera com defeito estou tentando entrar em contato para troca ou devolução não consigo .', 'Recebi o produto errado e a central de atendimento é muito ruim, não consigo entrar em contato, respondem email quando querem e não resolvem meu problema!', 'Infelizmente estou tentando, entrar em contato com a central de atendimento e não consigo. Não recebi o meu produto e também não tive nenhum retorno do status.']",0.5160252
59,23,59_comprei produto_preço produto_comprado comprei_preço,"['comprei produto', 'preço produto', 'comprado comprei', 'preço', 'compra veio', 'original recebi', 'chegou produto', 'comprei', '100', 'cobrado']","['Comprei um produto de 180 reais e recebi um completamente de 50 reais. Um absurdo', 'bem comprei um produto que custava 261.00 reais o melhor que eles tinham com o cartao de 32g . e me mandarão o pior que eles tinha era de 140.00 reais que vinha com cartão de 16g resumindo safados.!!!', 'Comprei um produto de 280,00 reais e chegou um produto diferente de 30,00 reais !']",0.5756037
60,23,60_entrega demorado_entrega demorada_demora entrega_entrega longo,"['entrega demorado', 'entrega demorada', 'demora entrega', 'entrega longo', '15 dias', '30 dias', 'tempo entrega', 'prazo entrega', 'muita demora', '10 dias']","['o produto é bom especificado no sait otimo só nao recomendo porque no sait falava que entregaria em 15 dias levou 30 dias para chegar afff a boneca é bonita amei otimo tecido nota geral 10 do produto.', 'Bom produto com um bom preço, mas demorou pra postar a mercadoria nos correios (+10 dias), vencendo assim o prazo de entregra, que era para o dia 21/12. Deve levar mais mais 7 dias pra chegar ainda... | Bom produto com um bom preço, mas demorou pra postar a mercadoria nos correios (+10 dias), vencendo assim o prazo de entregra, que era para o dia 21/12. Deve levar mais mais 7 dias pra chegar ainda...', 'Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível | Produto de ótima custo benefício! Porem a loja vendeu sem ter em ostoque e demorou mais de 30 dias para entrar em contato para fazer a troca por um produto disponível']",0.6877605
61,23,61_sobre entrega_entrega demorou_entrega cumprido_demorou entrega,"['sobre entrega', 'entrega demorou', 'entrega cumprido', 'demorou entrega', 'entrega', 'problema entrega', 'entrega pedido', 'pedido entrega', 'entrega demora', 'entrega prazo']","['Um demora pra entrega | Um demora pra entrega', 'demora com a entrega | demora com a entrega', 'Demora na entrega | Demora na entrega | Demora na entrega']",0.81409335
62,23,62_nao recebi_recebi nenhuma_recebi nada_ninguem,"['nao recebi', 'recebi nenhuma', 'recebi nada', 'ninguem', 'nada', 'nao sei', 'agora nao', 'nenhuma', 'recebi recebi', 'recebi']","['nao sei nao recebi', 'Nao recebi', 'Nao recebi... e nem recebi justificatica porqie tá demorando']",0.73147666
63,22,63_ninguém respondeu_nao recebi_pedido entregue_recebi pedido,"['ninguém respondeu', 'nao recebi', 'pedido entregue', 'recebi pedido', 'pedido chegou', 'pedido nao', 'recebi nada', 'enviei mail', 'mail', 'nao entregue']","['Até agora, não consegui entrar em contacto para resolver meu problema, e o telefone de sac só com secretária eletrônica e que não dispõe de mecanismos que levem a falar diretamente com um atendente', 'pedido veio incompleto e não me atenderam nem por telefone e nem por email. | pedido veio incompleto e não me atenderam nem por telefone e nem por email.', 'Não um telefone onde podemos falar sobre o deu errado, e por email não obtive resposta | Não um telefone onde podemos falar sobre o deu errado, e por email não obtive resposta']",0.57322377
64,21,64_qualidade esperava_produto bom_esperava produto_melhores,"['qualidade esperava', 'produto bom', 'esperava produto', 'melhores', 'melhor', 'melhorar', 'qualidade', 'achei produto', 'receber produto', 'pensei']","['O produto poderia ser melhor .Os encaixe não afirma, poderia ser melhor pintado. A entrega veio antes.', 'esperava uma qualidade melhor do produto', 'Achei que a qualidade fosse melhor.']",0.5844538
65,21,65_nesta loja_recomendo loja_sempre compro_loja entregou,"['nesta loja', 'recomendo loja', 'sempre compro', 'loja entregou', 'lojas', 'compras', 'comprei', 'compra', 'comprar', 'compro']","['Eu compro sempre nesta loja e gosto', 'Entrega rápida, por isso q gosto de comprar por o site.', 'Gosto de comprar sempre aí....vez em quando os preços são salgados .kkk']",0.75933784
66,21,66_propaganda enganosa_propaganda_diferente propaganda_enganosa comprei,"['propaganda enganosa', 'propaganda', 'diferente propaganda', 'enganosa comprei', 'enganosa', 'falsificado', 'produto péssima', 'reclamei', 'péssima qualidade', 'enviaram produto']","['Comprei uma colcha e veio um lençol com elástico - propaganda enganosa!', 'estou tentando devolver nao é cetim propaganda enganosa duro e aspero', 'Propaganda enganosa, comprei porque na descrição estava claro que ela flutuava, porém ela não FLUTUA. A faca afunda. PÉSSIMA, PROPAGANDA ENGANOSA | Propaganda enganosa, comprei porque na descrição estava claro que ela flutuava, porém ela não FLUTUA. A faca afunda. PÉSSIMA, PROPAGANDA ENGANOSA']",0.530047
67,21,67_quase mês_mês chegar_prazo demorou_mês,"['quase mês', 'mês chegar', 'prazo demorou', 'mês', 'data entrega', 'demora entrega', 'dias atraso', 'prazo entrega', 'mês produto', 'meses']","['Comprei dois pendentes e até agora não chegou, já passou dos 12 dias de prazo e nada, segundo o que informaram é que o correios irá entregar no prazo de 5 dias.. já se passaram 3 dias e nada ate ago | Comprei dois pendentes e até agora não chegou, já passou dos 12 dias de prazo e nada, segundo o que informaram é que o correios irá entregar no prazo de 5 dias.. já se passaram 3 dias e nada ate ago', 'Se passaram 2 dias da data da entrega e ainda não recebi a encomenda | Se passaram 2 dias da data da entrega e ainda não recebi a encomenda | Se passaram 2 dias da data da entrega e ainda não recebi a encomenda', 'Já se passaram quase um mês e nada preciso da ajuda de vcs | Já se passaram quase um mês e nada preciso da ajuda de vcs']",0.6719566
68,20,68_errado produto_produto errado_solicitei troca_troca produto,"['errado produto', 'produto errado', 'solicitei troca', 'troca produto', 'devolver produto', 'recebi produtos', 'enviado produto', 'nenhum retorno', 'troca comprei', 'pedido produto']","['Solicitei a troca do produto, e ainda não tive resposta.', 'O produto veio com defeito...já solicitei a troca mas não tive retorno..', 'O produto veio errado e ainda não me retornaram para fazer a troca.']",0.5478384
69,19,69_prazo entrega_demora entregar_recebi encomenda_prazo ainda,"['prazo entrega', 'demora entregar', 'recebi encomenda', 'prazo ainda', 'prazo estipulado', 'recebi pedido', 'ainda prazo', 'demora', 'prazo', 'entrega ainda']","['Ainda não recebi o meu pedido, estava programado para o dia 13/12 e até agora nada, hoje já é dia 17/12', 'Atraso na entrega, ainda não recebi e não sou informado o por que do atraso.. Se não receber logo vou cancelar o pedido', 'Meu pedido foi depositado dia 27/11 e já é dia 28/11 e não o recebi. Nem mesmo uma explicação pela demora na entrega. Ainda estou aguardando.']",0.7254691
70,19,70_excelente_ótimo_super recomendo_super,"['excelente', 'ótimo', 'super recomendo', 'super', 'chegou bem', 'bem', 'boa', 'gostei', 'satisfeita', 'bonita']","['Prazo excelente !!', 'Super boa', 'Estou super satisfeita....super recomendo']",0.8397598
71,19,71_mochila_bolsa_material_frágil,"['mochila', 'bolsa', 'material', 'frágil', 'fraco', 'recebi produto', 'produto péssima', 'caixa', 'rasgada', 'caixa veio']","['Boa mochila mas achei só um pouco pequena, mas muito bonita.', 'O material da mochila é bem fraco.', 'Mochila aparentemente fraca,parece ser uma mochila comum e não de rodinhas. Não gostei da qualidade da mochila,esperava mais.']",0.4827847
72,19,72_respeito cliente_descaso cliente_falta respeito_cliente,"['respeito cliente', 'descaso cliente', 'falta respeito', 'cliente', 'péssimo atendimento', 'falta atenção', 'respeito', 'insatisfeita', 'atendimento', 'agência']","['Falta de respeito com o cliente', 'falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;; | falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;; | falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;; | falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;; | falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;;', 'Falta de respeito com cliente']",0.5108937
73,18,73_diferente foto_foto diferente_produto parece_produto diferente,"['diferente foto', 'foto diferente', 'produto parece', 'produto diferente', 'foto produto', 'igual foto', 'foto', 'produto outro', 'imagem', 'fotos']","['veio produto diferente da foto , modelo diferente', 'Produto diferente da foto.', 'foto uma, produto outro tesoura sim modelo diferente....da foto da compra']",0.6767751
74,18,74_veio defeito_deram nenhuma_vez recebi_nenhuma,"['veio defeito', 'deram nenhuma', 'vez recebi', 'nenhuma', 'recebi recebi', 'recebi', 'entregaram', 'faltou', 'agora recebi', 'entregue']","['Não recebi | Não recebi', 'Sempre recebo e desta vez não recebi | Sempre recebo e desta vez não recebi | Sempre recebo e desta vez não recebi', 'Péssimo não me deram nenhuma informação nem código e pior não me entregaram | Péssimo não me deram nenhuma informação nem código e pior não me entregaram | Péssimo não me deram nenhuma informação nem código e pior não me entregaram']",0.64945084
75,18,75_produto aguardando_nada ainda_chegou ainda_produto chegou,"['produto aguardando', 'nada ainda', 'chegou ainda', 'produto chegou', 'recebi produto', 'produto ainda', 'chegou prazo', 'ainda nao', 'aguardando ainda', 'ainda chegou']","['Ainda não veio meu produto. Espero que semana que vem venha com segurança.', 'Espero que chegue o produto estou aguardando , ainda não chegou.', 'Meu pedido não chegou, e eu preciso desse produto até semana que vem | Meu pedido não chegou, e eu preciso desse produto até semana que vem']",0.6231947
76,17,76_voces_veio faltando_volume_fone,"['voces', 'veio faltando', 'volume', 'fone', 'falta', 'defeito', 'cabo', 'celular', 'aparelho', 'faltando']","['Não gostei e não recomendo. O som é baixo e logo de início já não funcionou um dos lados do fone. Horrível', 'OBS: como voces dividiram, fracionaram o pedido dos controles remotos em ENTREGA 01 e 02 e 03, realmente está faltando entrega (falta um controle remoto da Sony e um controle remoto da LG) | OBS: como voces dividiram, fracionaram o pedido dos controles remotos em ENTREGA 01 e 02 e 03, realmente está faltando entrega (falta um controle remoto da Sony e um controle remoto da LG) | OBS: como voces dividiram, fracionaram o pedido dos controles remotos em ENTREGA 01 e 02 e 03, realmente está faltando entrega (falta um controle remoto da Sony e um controle remoto da LG)', 'Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fones sei que não é defeito mas produto feito para enganar. Som baixo | Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fones sei que não é defeito mas produto feito para enganar. Som baixo | Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fones sei que não é defeito mas produto feito para enganar. Som baixo | Fone de ouvido aparenta ter controles de volume e avanco/retrocesso de faixa, mas não funcionam. Como comprei 2 fones sei que não é defeito mas produto feito para enganar. Som baixo']",0.49384186
77,16,77_produto recebi_recebi produto_produto aguardando_comprei produto,"['produto recebi', 'recebi produto', 'produto aguardando', 'comprei produto', 'produto comprado', '2018 recebi', 'produto entregue', 'produto ainda', 'nada ainda', 'data recebi']","['Ainda não recebi meu produto. Ficou de entregar no dia 20/03/18. Até agora nada.', 'Não recebi o produto até dia 12 de Abril de 2018', 'Efetuei a compra em 02/02/18 e até hoje não recebi o produto. Quando tento rastrear a entrega, verifico que o status não muda há mais de 20 dias.']",0.58711576
78,16,78_faltando produto_produto nao_produto nunca_nao entregue,"['faltando produto', 'produto nao', 'produto nunca', 'nao entregue', 'recebi produto', 'produto entregue', 'entregue produto', 'recebeu produto', 'casa produto', 'nunca chegou']","['Meu produto nao foi entregue , produto se quer chegou na minha residencia !', 'Meu produto nao foi entregue', 'Meu produto nao foi entregue.']",0.6080032
79,16,79_mercadoria recebi_recebi mercadoria_mercadoria ainda_nao recebi,"['mercadoria recebi', 'recebi mercadoria', 'mercadoria ainda', 'nao recebi', 'compra recebi', 'recebi comprei', 'recebi compra', 'recebi produto', 'mercadoria chegou', 'comprei comprei']","['Infelizmente ainda não recebi a mercadoria', 'Não sei por que ainda não recebi minha mercadoria...', 'não recebi a mercadoria ainda.']",0.75340337
80,16,80_péssima loja_lojas lannister_lojas_comprar produto,"['péssima loja', 'lojas lannister', 'lojas', 'comprar produto', 'entrega produtos', 'comprar', 'mercadoria', 'pessimo', 'pessima', 'péssimo']","['Os preços são bons e os produtos de qualidade.O problema não é a loja, mas o serviço de entrega utilizado por eles é o pior do país. Os Correios nunca entregam no prazo.', 'Eles anunciam um produto, entregam outro. Não compro mais nesse loja e o pior é que esta difícil comprar no stark, tamanha a quantidade de lojistas ruins como esse.', 'Pessima loja. Vendem recebem e não entregam.']",0.5205237
81,16,81_ok_certo_obrigado_bom,"['ok', 'certo', 'obrigado', 'bom', 'recomendo', 'obrigada', 'tudo certo', 'gostei', '', '']","['Ok', 'ok', 'OK']",0.84940237
82,15,82_produto recebi_recebi produto_recebi mercadoria_produto posso,"['produto recebi', 'recebi produto', 'recebi mercadoria', 'produto posso', 'nada', 'produto chegou', 'produto', 'produto data', 'avaliar recebi', 'mercadoria']","['Não recebi meu produto. Não posso avaliar. | Não recebi meu produto. Não posso avaliar.', 'Não posso avaliar, não recebi o produto', 'Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear | Não recebi o produto na data prevista e nem consigo rastrear']",0.65104455
83,15,83_contato loja_loja ainda_loja produto_retorno loja,"['contato loja', 'loja ainda', 'loja produto', 'retorno loja', 'recebi encomenda', 'recomendar loja', 'compra ainda', 'loja comprei', 'prazo entrega', 'data entrega']","['Já comprei tem quase dois meses,ainda não chegou.. falta de respeito com o cliente.. Mas não vou julgar..quem sou eu Precisa melhorar a comunicação.. E ainda aguardo meu pedido', '(tenso) tinhas mais de 10 lojas pra min escolher qual comprar, o pitei pela lannister por ser uma loja conhecida a entrega estava para dia 22/01/2018 . hoje já é 24/01/2018 pois comprei dia 06/01/18', 'Primeira e Última vez que compro com essa loja, comprei uma mesa cavalete no dia 02/08/2018 , hoje estamos no dia 24/08/2018 e minha mesa ainda não foi entregue , não consigo contato com a loja']",0.56356174
84,15,84_prazo produto_produto antes_comprado produto_compra produto,"['prazo produto', 'produto antes', 'comprado produto', 'compra produto', 'produto prazo', 'produto entregue', 'entrega produto', 'infelizmente produto', 'entregou produto', 'momento produto']","['O produto não é entregue no prazo.', 'O produto não foi entregue no prazo estipulado pelo vendedor.', 'O produto chegou antes do prazo estipulado mas não veio conforme anuncio e não funcionou.']",0.7012855
85,14,85_metade_metade pedido_produto recebi_mercadoria recebi,"['metade', 'metade pedido', 'produto recebi', 'mercadoria recebi', 'comprei recebi', 'recebi somente', 'produto veio', 'produto chegou', 'recebi', 'recebi compra']","['produto chegou pela metade | produto chegou pela metade | produto chegou pela metade | produto chegou pela metade', 'Veio metade | Veio metade', 'recebi metade do produto . | recebi metade do produto .']",0.64845884
86,14,86_foto produto_diferente foto_produto nao_produto nada,"['foto produto', 'diferente foto', 'produto nao', 'produto nada', 'quadro', 'produto infelizmente', 'produto parece', 'foto', 'produto apesar', 'produto péssima']","['Produto diferente da foto. Produto sem fecho e por isso não serve.', 'Produto de péssima qualidade Não tem nada a ver com a descrição nem a foto!', 'Infelizmente não! A qualidade do produto não agradou.Impressão da foto em exposição remete a um tamanho maior e a recebida sequer atende a uma criança. PRODUTO NÃO JUSTIFICA O VALOR INFELIZMENTE!']",0.5603446
87,14,87_greve_chegou prazo_demora_atraso,"['greve', 'chegou prazo', 'demora', 'atraso', 'ainda recebi', 'aviso', 'chegou', 'culpa correios', 'prazo', 'recebi']","['Produto chegou um pouco após a entrega, mas estou satisfeito. Acredito que a greve dos caminhoes tenha influenciado no atraso.', 'Os Correios entregam quando entendem. Só sabem fazer greve.', 'Mesmo com a greve dos caminhoneiros chegou no prazo']",0.62382156
88,13,88_produto falsificado_comprei produto_produto comprado_embalagem,"['produto falsificado', 'comprei produto', 'produto comprado', 'embalagem', 'recebi produto', 'produto recebi', 'produto diferente', 'produto errado', 'tapete', 'capa']","['Comprei o produto acreditando ser um tapete mas é um banner de lona.', 'Comprei um tapete com o nome ""Tapete flash G borracha Pvc TVolkswagen voyage 2010"", e ao receber o produto o mesmo não é compatível com o veiculo, verifiquei a nota e o nome esta, Tapete universal pvc', 'Entrega de produto errado, comprei tapete para carro Ettios Rech modelo 2017, veio modelo Corolla']",0.6142557
